stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Hebert\Area de trabalho\Programacao\UFV\SISTEMAS DE INFORMAÇÃO - UFV\5° Semestre\Computação Orientada a objetos\Projeto\PROJETOFINAL\Pacman\bin\Debug\allegro5.cfg r
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:780  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:783  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.7
audio-dsound I           dsound.cpp:271  _dsound_open                     [   0.00084] Starting DirectSound...
audio-dsound D           dsound.cpp:280  _dsound_open                     [   0.06857] DirectSoundCreate8 succeeded
audio-dsound I           dsound.cpp:73   get_window                       [   0.06868] Using desktop window: 0000000000010010
audio    I              audio.c:347  do_install_audio                 [   0.06908] Using DirectSound driver
audio-dsound D           dsound.cpp:311  _dsound_allocate_voice           [   0.06917] Allocating voice
audio-dsound D           dsound.cpp:370  _dsound_allocate_voice           [   0.06923] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.06930] added dtor for voice 0000000000728e20, func 00007ffc940a5024
dtor     D               dtor.c:196  _al_register_destructor          [   0.06938] added dtor for mixer 0000000000728fc0, func 00007ffc940a04dc
audio-dsound D           dsound.cpp:466  _dsound_start_voice              [   0.06946] Starting voice
audio-dsound D           dsound.cpp:494  _dsound_start_voice              [   0.06951] CreateSoundBuffer
audio-dsound D           dsound.cpp:502  _dsound_start_voice              [   0.08106] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:508  _dsound_start_voice              [   0.08120] Starting _dsound_update thread
audio-dsound I           dsound.cpp:518  _dsound_start_voice              [   0.08134] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.08139] added dtor for sample_instance 0000000000729550, func 00007ffc9409929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08148] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08153] 
